手数,成交额,留存手续费,品种,手续费,客户号,上交手续费,总盈亏,客户名称,交易所,净手续费,交易类别,权利金收入,权利金支出,合约号,客户类,交割期,币种,浮动盈亏,净利润,持仓手数,交易所保证金,保证金,执行手续费,执行上交,执行留存,执行手数,执行盈亏,交割手续费,平今手数,平今成交额
31233,"2,316,859,095.00","30,276.64",白银,"133,888.53",,"103,611.89","2,046,045.00",,SHFE,"30,276.64",期货,0.00,0.00,,,,人民币,0.00,"1,912,156.47",3365,"29,387,161.80","31,332,585.90",0.00,0.00,0.00,0,0.00,0.00,11385,"843,902,835.00"
39804,"3,927,721,825.00","39,761.59",铝,"221,753.59",,"181,992.00","7,268,625.00",,SHFE,"39,761.59",期货,0.00,0.00,,,,人民币,0.00,"7,046,871.41",3879,"27,568,845.00","30,052,364.00",0.00,0.00,0.00,0,0.00,0.00,14940,"1,478,173,000.00"
421,"427,960.00",199.71,铝,709.71,,510.00,0.00,,SHFE,199.71,期权,"211,965.00","215,995.00",,,,人民币,0.00,-709.71,102,"392,220.00","396,039.00",0.00,0.00,0.00,0,0.00,0.00,81,"103,160.00"
4262,"1,596,399,420.00","3,810.68",黄金,"32,380.68",,"28,570.00","1,468,740.00",,SHFE,"3,810.68",期货,0.00,0.00,,,,人民币,0.00,"1,436,359.32",568,"19,065,676.40","19,953,544.80",0.00,0.00,0.00,0,0.00,0.00,989,"370,082,540.00"
295,"515,700.00",151.17,黄金,665.17,,514.00,0.00,,SHFE,151.17,期权,"261,580.00","254,120.00",,,,人民币,0.00,-665.17,84,"1,484,666.60","1,484,666.60",0.00,0.00,0.00,0,0.00,0.00,38,"144,680.00"
29327,"915,055,520.00","36,375.62",石油沥青,"127,881.50",,"91,505.88","-1,389,040.00",,SHFE,"36,375.62",期货,0.00,0.00,,,,人民币,0.00,"-1,516,921.50",5023,"11,520,170.00","12,600,142.00",0.00,0.00,0.00,0,0.00,0.00,7975,"249,052,800.00"
5962,"2,094,767,650.00","30,917.51",阴极铜,"166,544.49",,"135,626.98","-3,242,650.00",,SHFE,"30,917.51",期货,0.00,0.00,,,,人民币,0.00,"-3,409,194.49",380,"13,115,810.00","14,717,280.00",0.00,0.00,0.00,0,0.00,0.00,1758,"617,632,900.00"
337,"789,320.00",843.62,阴极铜,"2,063.62",,"1,220.00",0.00,,SHFE,843.62,期权,"356,070.00","433,250.00",,,,人民币,0.00,"-2,063.62",84,"1,274,930.00","1,274,930.00",0.00,0.00,0.00,0,0.00,0.00,93,"197,130.00"
49445,"1,437,686,330.00","103,208.15",燃料油,"256,740.19",,"153,532.04","-1,867,470.00",,SHFE,"103,208.15",期货,0.00,0.00,,,,人民币,0.00,"-2,124,210.19",665,"1,863,416.00","2,277,860.80",0.00,0.00,0.00,0,0.00,0.00,16822,"489,516,640.00"
84993,"3,977,151,990.00","139,457.63",热轧卷板,"537,188.59",,"397,730.96","10,194,950.00",,SHFE,"139,457.63",期货,0.00,0.00,,,,人民币,0.00,"9,657,761.41",4623,"25,892,808.00","26,553,113.10",0.00,0.00,0.00,0,0.00,0.00,23828,"1,122,240,500.00"
