客户号,客户全称,开户日期,销户日期,手机,证件号码,状态,备注,地址,交易中心,客户证券现货内部资金账户,客户证券现货内部资金账户开户日期,法人,客户性质,客户类,开户操作员,销户操作员,客户反洗钱风险等级
," 共有客户：",,,,,,,,,,,,,526,,,
00100,山西省饲料公司贸易部,,20080523,,,销户,,20040402删除郑州编码14800010,第三交易中心,,,,法人,0106904604[山西分公司-营销部-营销一部-太原侯方团队-侯方维护],,lrh3,
0051,郑州天地人面粉实业有限公司,,20080523,,,销户,2002.07.23切结,中国,第三交易中心,,,,法人,2001______[郑州营业部-公共维护-__-__-__],,gjx3,
00812,津鑫公司,,20080523,,,销户,,中国,第三交易中心,,,,法人,0106904604[山西分公司-营销部-营销一部-太原侯方团队-侯方维护],,lrh3,
00900,昌东公司,,20091029,,,销户,,中国,第三交易中心,,,,法人,0106904604[山西分公司-营销部-营销一部-太原侯方团队-侯方维护],,bgm,
01073,榆次开发区华茂纺业有限公司,20040601,20080523,,,销户,,20040601开20060331切结,第三交易中心,,,,法人,0106904603[山西分公司-营销部-营销一部-太原侯方团队-侯方开发],,fry3,
01106,山西华茂纺织有限公司,20060123,20131113,,74106765-9,销户,20060123开户,"中国  20060123开户",第三交易中心,,,雷梅琴,法人,0106904603[山西分公司-营销部-营销一部-太原侯方团队-侯方开发],,wjn1,
01168,山西远通工贸有限公司,20080707,20180530,15935619815,74107865-7,销户,2008.7.6开户,山西省太原市长风街31号,第三交易中心,,,李徐玲,法人,0101______[山西分公司-公共维护-__-__-__],lrh3,xn1,
05180,山西省饲料公司,20040220,,13903437993,11001268-6,只可平仓,,中国山西省太原市晋祠路一段33号,第三交易中心,,,李嘉春,法人,0101______[山西分公司-公共维护-__-__-__],888,,
05311,阳泉信通投资管理有限公司,20050428,20091029,,,销户,,2005.04.29开户,第三交易中心,,,,法人,0106904603[山西分公司-营销部-营销一部-太原侯方团队-侯方开发],,bgm,
05888,山西同元铜业有限公司,20040628,20091029,,,销户,,20040628开,第三交易中心,,,,法人,0101______[山西分公司-公共维护-__-__-__],,bgm,
06000,山西物产民丰化工有限公司,20080123,20140404,,75725312-2,销户,2008.01.23开户,山西省太原市小店区长风街31号,第三交易中心,,,赵国民,法人,0106904604[山西分公司-营销部-营销一部-太原侯方团队-侯方维护],fry3,wjn1,
08551066,河南濮阳国家粮食储备库,20081208,,13903933600,17395069-6,只可平仓,20081208,河南省濮阳市石化路东段,第三交易中心,,,韩振玺,法人,200609____[郑州营业部-营销部-营销马振华-__-__],lrh3,,
09119502,山西双威进出口贸易有限公司,20090930,20120614,,73189856-3,销户,,山西省太原市滨河花苑2号楼10层7号,第三交易中心,,,郭美彬,法人,0101______[山西分公司-公共维护-__-__-__],gsd4,xn1,
09120008,广西黑五类物流有限公司,20090209,20100120,,450921000000455,销户,"2009.2.10开户    10.1.20切结",广西省南宁市双拥路36号6楼,第三交易中心,,,李汉朝,法人,3001______[南宁营业部-公共维护-__-__-__],gjx3,fry3,
09120123,广西翔吉贸易有限公司,20090526,,13788117777,78211780-0,只可平仓,,广西壮族自治区南宁市广西省南宁市高新区北环路9号,第三交易中心,,,吴堪吉,法人,3001______[南宁营业部-公共维护-__-__-__],gy3,,
09215200,临猗县晋达纺织有限公司,20091014,,,75150472-8,只可平仓,,山西省运城市临猗县北景,第三交易中心,,,李启厦,法人,0201______[运城营业部-公共维护-__-__-__],gsd3,,
09219551,太原市金泰宇建筑材料有限公司,20091021,20180716,,70115149-3,销户,,山西省太原市迎泽区并州西街6号,第三交易中心,,,张跃平,法人,0101______[山西分公司-公共维护-__-__-__],yzj2,xn1,
09220988,广西南方农业开发经营有限责任公司,20090629,,13377154130,76305372-5,只可平仓,,中国广西壮族自治区玉林市容县容州镇侨乡大道10号,第三交易中心,,,仇德和,法人,3002hc____[南宁营业部-居间-南宁居间曾冬生-__-__],dhm2,,
