手数,成交额,留存手续费,品种,手续费,客户号,上交手续费,总盈亏,客户名称,交易所,净手续费,交易类别,权利金收入,权利金支出,合约号,客户类,交割期,币种,浮动盈亏,净利润,持仓手数,交易所保证金,保证金,执行手续费,执行上交,执行留存,执行手数,执行盈亏,交割手续费,平今手数,平今成交额
35489,"2,825,684,570.00","61,545.13",苹果,"461,230.13",,"399,685.00","-3,887,100.00",,CZCE,"61,545.13",期货,0.00,0.00,,,,人民币,0.00,"-4,348,330.13",1837,"12,837,332.10","13,407,157.10",0.00,0.00,0.00,0,0.00,0.00,14816,"1,175,100,150.00"
22471,"2,411,163,825.00","20,741.62",棉一号,"238,075.12",,"217,333.50","-336,225.00",,CZCE,"20,741.62",期货,0.00,0.00,,,,人民币,0.00,"-574,300.12",2474,"31,478,602.50","33,794,019.75",0.00,0.00,0.00,0,0.00,0.00,6695,"719,274,575.00"
11510,"868,107,550.00","6,135.93",干制红枣,"107,703.93",,"101,568.00","-6,213,150.00",,CZCE,"6,135.93",期货,0.00,0.00,,,,人民币,0.00,"-6,320,853.93",632,"6,195,975.00","7,574,480.00",0.00,0.00,0.00,0,0.00,0.00,4301,"323,365,400.00"
224,"32,686,925.00",212.93,棉纱,776.93,,564.00,"-53,725.00",,CZCE,212.93,期货,0.00,0.00,,,,人民币,0.00,"-54,501.93",4,"58,320.00","71,442.00",0.00,0.00,0.00,0,0.00,0.00,83,"12,100,375.00"
45829,"1,561,062,500.00","66,111.02",玻璃,"341,085.02",,"274,974.00","-3,075,860.00",,CZCE,"66,111.02",期货,0.00,0.00,,,,人民币,0.00,"-3,416,945.02",4424,"19,703,748.00","20,212,346.20",0.00,0.00,0.00,0,0.00,0.00,15907,"539,405,780.00"
2,"111,220.00",12.02,粳稻,18.02,,6.00,-780.00,,CZCE,12.02,期货,0.00,0.00,,,,人民币,0.00,-798.02,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,1,"56,000.00"
198928,"5,607,358,420.00","165,569.01",甲醇,"1,282,542.01",,"1,116,973.00","-2,562,980.00",,CZCE,"165,569.01",期货,0.00,0.00,,,,人民币,0.00,"-3,845,522.01",4231,"7,662,299.00","8,432,862.20",0.00,0.00,0.00,0,0.00,0.00,81903,"2,309,030,910.00"
28062,"3,478,191,420.00","11,115.69",菜籽油2,"75,864.69",,"64,749.00","-124,580.00",,CZCE,"11,115.69",期货,0.00,0.00,,,,人民币,0.00,"-200,444.69",2046,"14,387,844.00","15,613,761.70",0.00,0.00,0.00,0,0.00,0.00,11216,"1,390,807,330.00"
6876,"248,224,930.00","15,601.15",涤纶短纤,"36,229.15",,"20,628.00","-476,800.00",,CZCE,"15,601.15",期货,0.00,0.00,,,,人民币,0.00,"-513,029.15",475,"1,184,441.60","1,343,668.40",0.00,0.00,0.00,0,0.00,0.00,2348,"84,682,580.00"
10406,"459,670,220.00","9,632.09",花生,"51,256.09",,"41,624.00","-235,450.00",,CZCE,"9,632.09",期货,0.00,0.00,,,,人民币,0.00,"-286,706.09",1048,"3,625,708.80","4,566,650.80",0.00,0.00,0.00,0,0.00,0.00,3527,"155,744,120.00"
53653,"1,374,176,100.00","20,717.74",菜籽粕,"78,720.74",,"58,003.00","92,360.00",,CZCE,"20,717.74",期货,0.00,0.00,,,,人民币,0.00,"13,639.26",2905,"5,061,072.80","5,487,962.20",0.00,0.00,0.00,0,0.00,0.00,19289,"493,860,470.00"
93667,"4,800,281,180.00","244,392.80",纯碱,"822,752.80",,"578,360.00","3,507,360.00",,CZCE,"244,392.80",期货,0.00,0.00,,,,人民币,0.00,"2,684,607.20",2883,"16,868,884.60","18,532,818.40",0.00,0.00,0.00,0,0.00,0.00,39054,"2,006,293,200.00"
21375,"1,061,085,870.00","75,134.80",硅铁,"424,157.80",,"349,023.00","-579,940.00",,CZCE,"75,134.80",期货,0.00,0.00,,,,人民币,0.00,"-1,004,097.80",887,"3,088,968.00","3,174,718.80",0.00,0.00,0.00,0,0.00,0.00,8378,"415,222,920.00"
16726,"746,403,150.00","484,209.81",锰硅,"768,383.31",,"284,173.50","-144,080.00",,CZCE,"484,209.81",期货,0.00,0.00,,,,人民币,0.00,"-912,463.31",1189,"4,062,212.40","4,278,599.60",0.00,0.00,0.00,0,0.00,0.00,6280,"279,979,080.00"
42221,"2,538,047,130.00","6,707.16",白砂糖,"82,367.16",,"75,660.00","171,940.00",,CZCE,"6,707.16",期货,0.00,0.00,,,,人民币,0.00,"89,572.84",1740,"6,869,330.30","7,809,951.00",0.00,0.00,0.00,0,0.00,0.00,16938,"1,017,645,190.00"
104138,"2,655,427,470.00","18,411.26",精对苯二甲酸,"197,526.26",,"179,115.00","-2,494,340.00",,CZCE,"18,411.26",期货,0.00,0.00,,,,人民币,0.00,"-2,691,866.26",4744,"8,949,570.20","10,384,936.20",0.00,0.00,0.00,0,0.00,0.00,44093,"1,124,428,510.00"
14484,"682,637,660.00","22,697.30",尿素,"146,047.30",,"123,350.00","-240,100.00",,CZCE,"22,697.30",期货,0.00,0.00,,,,人民币,0.00,"-386,147.30",574,"2,382,259.80","2,521,908.80",0.00,0.00,0.00,0,0.00,0.00,5804,"273,664,940.00"
3,"179,460.00",0.42,强麦2,15.42,,15.00,"1,240.00",,CZCE,0.42,期货,0.00,0.00,,,,人民币,0.00,"1,224.58",0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.00
3010,"267,443,740.00","96,255.56",新动力煤,"457,215.56",,"360,960.00","-890,420.00",,CZCE,"96,255.56",期货,0.00,0.00,,,,人民币,0.00,"-1,347,635.56",283,"9,173,178.00","9,543,779.20",0.00,0.00,0.00,0,0.00,0.00,901,"81,153,340.00"
709074,"31,617,943,340.00","1,325,203.44",,"5,571,967.44",合计,"4,246,764.00","-17,542,630.00","客户数共: 1",,"1,325,203.44",,0.00,0.00,,,,人民币,0.00,"-23,114,597.44",32376,"153,589,747.10","166,751,062.35",0.00,0.00,0.00,0,0.00,0.00,281534,"12,401,814,870.00"
